,metascore,title,console,date,Global_Sales,User_Score
0,89,Final Fantasy Chronicles,PS, 2001,0.52,91.0
1,93,The Witcher 3: Wild Hunt,PC, 2015,0.72,93.0
2,91,The Witcher 3: Wild Hunt,XONE, 2015,0.72,93.0
3,92,The Witcher 3: Wild Hunt,PS4, 2015,0.72,93.0
4,74,The Legend of Dragoon,PS, 2000,1.86,84.0
5,91,Resident Evil,GC, 2002,5.05,90.0
6,96,Resident Evil 4,GC, 2005,0.03,74.0
7,96,Resident Evil 4,PS2, 2005,0.03,74.0
8,82,Resident Evil 4,PS4, 2016,0.03,74.0
9,76,Resident Evil 4,XONE, 2016,0.03,74.0
10,76,Resident Evil 4,PC, 2007,0.03,74.0
11,92,Final Fantasy VI Advance,GBA, 2007,0.28,84.0
12,94,Final Fantasy IX,PS, 2000,5.3,89.0
13,84,Final Fantasy IX,PC, 2016,5.3,89.0
14,85,Final Fantasy IX,PS4, 2017,5.3,89.0
15,84,Vanquish,X360, 2010,0.42,84.0
16,84,Vanquish,PS3, 2010,0.42,84.0
17,78,Vanquish,PC, 2017,0.42,84.0
18,97,Metroid Prime,GC, 2002,2.82,93.0
19,90,Deus Ex,PC, 2000,0.01,93.0
20,94,God of War,PS4, 2018,4.45,89.0
21,94,God of War,PS2, 2005,4.45,89.0
22,88,Counter-Strike,PC, 2000,1.11,76.0
23,74,Counter-Strike,XBOX, 2003,1.11,76.0
24,95,The Last of Us,PS3, 2013,5.87,91.0
25,96,The Orange Box,PC, 2007,0.14,93.0
26,96,The Orange Box,X360, 2007,0.14,93.0
27,89,The Orange Box,PS3, 2007,0.14,93.0
28,87,Final Fantasy Tactics Advance,GBA, 2003,2.13,78.0
29,92,Chrono Trigger,DS, 2008,1.34,89.0
30,92,Xenoblade Chronicles,WII, 2012,0.91,89.0
31,83,Final Fantasy X / X-2 HD Remaster,PC, 2016,0.8,85.0
32,86,Final Fantasy X / X-2 HD Remaster,VITA, 2014,0.8,85.0
33,85,Final Fantasy X / X-2 HD Remaster,PS3, 2014,0.8,85.0
34,84,Final Fantasy X / X-2 HD Remaster,PS4, 2015,0.8,85.0
35,92,Warcraft III: Reign of Chaos,PC, 2002,0.13,91.0
36,87,Kingdom Hearts II,PS2, 2006,4.33,90.0
37,88,Mafia,PC, 2002,0.04,91.0
38,66,Mafia,XBOX, 2004,0.04,91.0
39,65,Mafia,PS2, 2004,0.04,91.0
40,83,Theatrhythm Final Fantasy: Curtain Call,3DS, 2014,0.37,82.0
41,89,Max Payne,PC, 2001,0.02,91.0
42,80,Max Payne,PS2, 2001,0.02,91.0
43,78,Max Payne,GBA, 2003,0.02,91.0
44,89,Max Payne,XBOX, 2001,0.02,91.0
45,86,Tales of Symphonia,GC, 2004,1.1,85.0
46,92,Rome: Total War,PC, 2004,0.1,91.0
47,89,Advance Wars 2: Black Hole Rising,GBA, 2003,0.65,94.0
48,87,Paper Mario: The Thousand-Year Door,GC, 2004,2.25,94.0
49,88,Shenmue II,DC, 2001,0.15,94.0
50,80,Shenmue II,XBOX, 2002,0.15,94.0
51,92,Fire Emblem: Awakening,3DS, 2013,2.01,91.0
52,89,Left 4 Dead,PC, 2008,0.02,92.0
53,89,Left 4 Dead,X360, 2008,0.02,92.0
54,86,Dino Crisis 2,PS, 2000,1.21,90.0
55,96,Half-Life 2,PC, 2004,0.61,86.0
56,90,Half-Life 2,XBOX, 2005,0.61,86.0
57,73,God Hand,PS2, 2006,0.07,77.0
58,91,Shadow of the Colossus,PS2, 2005,1.14,91.0
59,91,Shadow of the Colossus,PS4, 2018,1.14,91.0
60,87,Dark Cloud 2,PS2, 2003,0.96,91.0
61,92,Super Smash Bros. Melee,GC, 2001,7.07,91.0
62,97,Super Mario Galaxy 2,WII, 2010,7.51,91.0
63,76,Suikoden V,PS2, 2006,0.35,76.0
64,93,Okami,PS2, 2006,0.6,89.0
65,90,Okami,WII, 2008,0.6,89.0
66,88,Fire Emblem,GBA, 2003,0.97,92.0
67,84,Devil May Cry 3: Dante's Awakening,PS2, 2005,2.09,90.0
68,93,Star Wars: Knights of the Old Republic,PC, 2003,0.14,90.0
69,94,Star Wars: Knights of the Old Republic,XBOX, 2003,0.14,90.0
70,86,Golden Sun: The Lost Age,GBA, 2003,1.22,95.0
71,93,Burnout 3: Takedown,PS2, 2004,1.31,72.0
72,94,Burnout 3: Takedown,XBOX, 2004,1.31,72.0
73,90,Pikmin 2,GC, 2004,1.2,91.0
74,88,Warcraft III: The Frozen Throne,PC, 2003,1.54,90.0
75,95,Grand Theft Auto: San Andreas,PS2, 2004,0.97,89.0
76,93,Grand Theft Auto: San Andreas,PC, 2005,0.97,89.0
77,93,Grand Theft Auto: San Andreas,XBOX, 2005,0.97,89.0
78,92,Metroid Fusion,GBA, 2002,1.68,91.0
79,91,Metal Gear Solid 3: Snake Eater,PS2, 2004,4.23,93.0
80,88,Sly 2: Band of Thieves,PS2, 2004,1.81,90.0
81,91,Klonoa 2: Lunatea's Veil,PS2, 2001,0.33,91.0
82,85,Kingdom Hearts,PS2, 2002,6.4,88.0
83,97,Super Mario Galaxy,WII, 2007,11.35,89.0
84,79,Resident Evil 3: Nemesis,DC, 2000,0.08,83.0
85,62,Resident Evil 3: Nemesis,GC, 2003,0.08,83.0
86,71,Resident Evil 3: Nemesis,PC, 2001,0.08,83.0
87,91,Bayonetta 2,WIIU, 2014,0.76,82.0
88,92,Bayonetta 2,Switch, 2018,0.76,82.0
89,87,Bully,PS2, 2006,0.94,91.0
90,80,War of the Monsters,PS2, 2003,0.54,89.0
91,95,The Legend of Zelda: Twilight Princess,WII, 2006,1.59,92.0
92,96,The Legend of Zelda: Twilight Princess,GC, 2006,1.59,92.0
93,77,Final Fantasy IV: The Complete Collection,PSP, 2011,0.56,75.0
94,78,Drakan: The Ancients' Gates,PS2, 2002,0.26,90.0
95,87,Diablo II: Lord of Destruction,PC, 2001,1.06,91.0
96,95,Portal 2,PC, 2011,0.76,88.0
97,95,Portal 2,X360, 2011,0.76,88.0
98,95,Portal 2,PS3, 2011,0.76,88.0
99,81,Phoenix Wright: Ace Attorney,DS, 2005,0.92,92.0
100,67,Phoenix Wright: Ace Attorney,WII, 2010,0.92,92.0
101,84,Onimusha 2: Samurai's Destiny,PS2, 2002,2.25,90.0
102,89,Silent Hill 2,PS2, 2001,1.28,89.0
103,70,Silent Hill 2,PC, 2002,1.28,89.0
104,73,Dragon Ball Z: Budokai Tenkaichi 3,PS2, 2007,1.02,84.0
105,72,Dragon Ball Z: Budokai Tenkaichi 3,WII, 2007,1.02,84.0
106,92,Advance Wars,GBA, 2001,0.7,90.0
107,92,Vagrant Story,PS, 2000,0.87,83.0
108,91,Golden Sun,GBA, 2001,1.76,93.0
109,91,The Legend of Zelda: A Link Between Worlds,3DS, 2013,3.1,89.0
110,78,Dynasty Warriors 4,PS2, 2003,0.16,88.0
111,75,Dynasty Warriors 4,XBOX, 2003,0.16,88.0
112,95,Red Dead Redemption,X360, 2010,6.32,90.0
113,95,Red Dead Redemption,PS3, 2010,6.32,90.0
114,79,Parasite Eve II,PS, 2000,0.58,90.0
115,84,Xenoblade Chronicles X,WIIU, 2015,0.84,89.0
116,84,Ace Combat 5: The Unsung War,PS2, 2004,1.71,91.0
117,89,The Legend of Zelda: The Minish Cap,GBA, 2005,1.42,90.0
118,89,Dragon Quest VIII: Journey of the Cursed King,PS2, 2005,5.21,88.0
119,85,Dragon Quest VIII: Journey of the Cursed King,3DS, 2017,5.21,88.0
120,93,SSX 3,PS2, 2003,0.38,87.0
121,92,SSX 3,GC, 2003,0.38,87.0
122,92,SSX 3,XBOX, 2003,0.38,87.0
123,63,SSX 3,GBA, 2003,0.38,87.0
124,82,Zone of the Enders: The 2nd Runner,PS2, 2003,0.41,89.0
125,88,Oddworld: Stranger's Wrath,XBOX, 2005,0.26,91.0
126,90,Metroid Prime 3: Corruption,WII, 2007,1.79,89.0
127,68,Gungrave: Overdose,PS2, 2004,0.14,87.0
128,89,Ace Combat 04: Shattered Skies,PS2, 2001,3.17,91.0
129,84,Valkyrie Profile 2: Silmeria,PS2, 2006,0.47,90.0
130,84,Star Wars: Battlefront II,PS2, 2005,0.17,88.0
131,83,Star Wars: Battlefront II,XBOX, 2005,0.17,88.0
132,78,Star Wars: Battlefront II,PC, 2005,0.17,88.0
133,69,Star Wars: Battlefront II,PSP, 2005,0.17,88.0
134,95,The Legend of Zelda: A Link to the Past,GBA, 2002,2.7,91.0
135,96,The Legend of Zelda: The Wind Waker,GC, 2003,4.6,89.0
136,96,BioShock,X360, 2007,0.41,85.0
137,94,BioShock,PS3, 2008,0.41,85.0
138,96,BioShock,PC, 2007,0.41,85.0
139,81,Harvest Moon: Friends of Mineral Town,GBA, 2003,0.59,96.0
140,81,MVP Baseball 2003,PS2, 2003,0.2,90.0
141,82,MVP Baseball 2003,XBOX, 2003,0.2,90.0
