,title,console,release_Date,tot_sale,Critic_Score,user_Score
0,Wii Sports,Wii,2006.0,82.53,76.0,80.0
1,Mario Kart Wii,Wii,2008.0,35.52,82.0,83.0
2,Wii Sports Resort,Wii,2009.0,32.77,80.0,80.0
3,New Super Mario Bros.,DS,2006.0,29.8,89.0,85.0
4,Wii Play,Wii,2006.0,28.92,58.0,66.0
5,New Super Mario Bros. Wii,Wii,2009.0,28.32,87.0,84.0
6,Mario Kart DS,DS,2005.0,23.21,91.0,86.0
7,Wii Fit,Wii,2007.0,22.7,80.0,77.0
8,Kinect Adventures!,X360,2010.0,21.81,61.0,63.0
9,Wii Fit Plus,Wii,2009.0,21.79,80.0,74.0
10,Grand Theft Auto V,PS3,2013.0,21.04,97.0,82.0
11,Grand Theft Auto: San Andreas,PS2,2004.0,20.81,95.0,90.0
12,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,20.15,77.0,79.0
13,Grand Theft Auto V,X360,2013.0,16.27,97.0,81.0
14,Grand Theft Auto: Vice City,PS2,2002.0,16.15,95.0,87.0
15,Brain Age 2: More Training in Minutes a Day,DS,2005.0,15.29,77.0,71.0
16,Gran Turismo 3: A-Spec,PS2,2001.0,14.98,95.0,84.0
17,Call of Duty: Modern Warfare 3,X360,2011.0,14.73,88.0,34.0
18,Call of Duty: Black Ops,X360,2010.0,14.61,87.0,63.0
19,Call of Duty: Black Ops II,PS3,2012.0,13.79,83.0,53.0
20,Call of Duty: Black Ops II,X360,2012.0,13.67,83.0,48.0
21,Call of Duty: Modern Warfare 2,X360,2009.0,13.47,94.0,63.0
22,Call of Duty: Modern Warfare 3,PS3,2011.0,13.32,88.0,32.0
23,Grand Theft Auto III,PS2,2001.0,13.1,97.0,85.0
24,Super Smash Bros. Brawl,Wii,2008.0,12.84,93.0,89.0
25,Mario Kart 7,3DS,2011.0,12.66,85.0,82.0
26,Call of Duty: Black Ops,PS3,2010.0,12.63,88.0,64.0
27,Grand Theft Auto V,PS4,2014.0,12.61,97.0,83.0
28,Animal Crossing: Wild World,DS,2005.0,12.13,86.0,87.0
29,Halo 3,X360,2007.0,12.12,94.0,78.0
30,Gran Turismo 4,PS2,2004.0,11.66,89.0,85.0
31,Super Mario Galaxy,Wii,2007.0,11.35,97.0,89.0
32,Grand Theft Auto IV,X360,2008.0,11.01,98.0,79.0
33,Gran Turismo,PS,1997.0,10.95,96.0,87.0
34,Super Mario 3D Land,3DS,2011.0,10.81,90.0,84.0
35,Gran Turismo 5,PS3,2010.0,10.7,84.0,75.0
36,Call of Duty: Modern Warfare 2,PS3,2009.0,10.6,94.0,63.0
37,Grand Theft Auto IV,PS3,2008.0,10.5,98.0,75.0
38,Call of Duty: Ghosts,X360,2013.0,10.25,73.0,26.0
39,Just Dance 3,Wii,2011.0,10.12,74.0,78.0
40,New Super Mario Bros. 2,3DS,2012.0,9.9,78.0,72.0
41,Halo: Reach,X360,2010.0,9.86,91.0,79.0
42,Final Fantasy VII,PS,1997.0,9.72,92.0,92.0
43,Halo 4,X360,2012.0,9.71,87.0,70.0
44,Gran Turismo 2,PS,1999.0,9.49,93.0,90.0
45,Just Dance 2,Wii,2010.0,9.44,74.0,73.0
46,Call of Duty: Ghosts,PS3,2013.0,9.36,71.0,26.0
47,Call of Duty 4: Modern Warfare,X360,2007.0,9.31,94.0,84.0
48,Animal Crossing: New Leaf,3DS,2012.0,9.16,88.0,87.0
49,Mario Party DS,DS,2007.0,8.91,72.0,78.0
50,The Elder Scrolls V: Skyrim,X360,2011.0,8.79,96.0,84.0
51,FIFA 16,PS4,2015.0,8.57,82.0,43.0
52,Halo 2,XB,2004.0,8.49,95.0,82.0
53,Wii Party,Wii,2010.0,8.38,68.0,74.0
54,Mario Party 8,Wii,2007.0,8.27,62.0,63.0
55,FIFA Soccer 13,PS3,2012.0,8.16,88.0,66.0
56,Final Fantasy X,PS2,2001.0,8.05,92.0,87.0
57,The Sims 3,PC,2009.0,8.01,86.0,76.0
58,Final Fantasy VIII,PS,1999.0,7.86,90.0,86.0
59,Pokémon Platinum Version,DS,2008.0,7.72,83.0,85.0
60,Grand Theft Auto: Liberty City Stories,PSP,2005.0,7.69,88.0,76.0
61,Call of Duty: Advanced Warfare,PS4,2014.0,7.66,83.0,57.0
62,FIFA 17,PS4,2016.0,7.59,85.0,50.0
63,Super Mario Galaxy 2,Wii,2010.0,7.51,97.0,91.0
64,Call of Duty: World at War,X360,2008.0,7.38,84.0,76.0
65,Battlefield 3,X360,2011.0,7.32,84.0,74.0
66,Need for Speed Underground,PS2,2003.0,7.2,85.0,86.0
67,Just Dance,Wii,2009.0,7.2,49.0,80.0
68,Battlefield 3,PS3,2011.0,7.17,85.0,75.0
69,Fallout 4,PS4,2015.0,7.16,87.0,65.0
70,Tekken 3,PS,1998.0,7.16,96.0,91.0
71,The Legend of Zelda: Twilight Princess,Wii,2006.0,7.15,95.0,90.0
72,Crash Bandicoot 3: Warped,PS,1998.0,7.13,91.0,89.0
73,Mario Kart 8,WiiU,2014.0,7.09,88.0,91.0
74,Super Smash Bros. Melee,GC,2001.0,7.07,92.0,91.0
75,Need for Speed Underground 2,PS2,2004.0,6.9,82.0,86.0
76,Medal of Honor: Frontline,PS2,2002.0,6.83,88.0,85.0
77,Just Dance 4,Wii,2012.0,6.76,74.0,73.0
78,Gears of War 2,X360,2008.0,6.75,93.0,77.0
79,Uncharted 3: Drake's Deception,PS3,2011.0,6.74,92.0,83.0
80,Call of Duty 4: Modern Warfare,PS3,2007.0,6.68,94.0,84.0
