,user_score,meta_score,title,console,release_date
0,9.4,89,Final Fantasy Chronicles,PS,2001
1,9.3,93,The Witcher 3: Wild Hunt,PC,2015
2,9.3,74,The Legend of Dragoon,PS,2000
3,9.3,91,Resident Evil,GC,2002
4,9.3,87,Bloodborne: The Old Hunters,PS4,2015
5,9.3,96,Resident Evil 4,GC,2005
6,9.3,92,Final Fantasy VI Advance,GBA,2007
7,9.2,94,Final Fantasy IX,PS,2000
8,9.2,95,Baldur's Gate II: Shadows of Amn,PC,2000
9,9.2,90,Portal,PC,2007
10,9.2,84,Vanquish,X360,2010
11,9.2,97,Metroid Prime,GC,2002
12,9.2,90,Deus Ex,PC,2000
13,9.2,91,The Witcher 3: Wild Hunt,XONE,2015
14,9.2,94,God of War,PS4,2018
15,9.2,88,Counter-Strike,PC,2000
16,9.2,95,The Last of Us,PS3,2013
17,9.2,84,Final Fantasy IX,PC,2016
18,9.2,96,The Orange Box,PC,2007
19,9.2,92,The Witcher 3: Wild Hunt,PS4,2015
20,9.2,87,Final Fantasy Tactics Advance,GBA,2003
21,9.2,92,Chrono Trigger,DS,2008
22,9.2,92,Xenoblade Chronicles,WII,2012
23,9.2,92,The Witcher 3: Wild Hunt - Blood and Wine,PC,2016
24,9.2,83,Final Fantasy X / X-2 HD Remaster,PC,2016
25,9.2,82,The Evil Within 2,XONE,2017
26,9.1,92,Warcraft III: Reign of Chaos,PC,2002
27,9.1,90,Half-Life 2: Episode Two,PC,2007
28,9.1,93,Paper Mario,N64,2001
29,9.1,87,Kingdom Hearts II,PS2,2006
30,9.1,88,Mafia,PC,2002
31,9.1,80,Day of Defeat: Source,PC,2005
32,9.1,83,Theatrhythm Final Fantasy: Curtain Call,3DS,2014
33,9.1,89,Max Payne,PC,2001
34,9.1,84,Pokemon Ultra Moon,3DS,2017
35,9.1,86,Tales of Symphonia,GC,2004
36,9.1,92,Rome: Total War,PC,2004
37,9.1,89,Advance Wars 2: Black Hole Rising,GBA,2003
38,9.1,87,Paper Mario: The Thousand-Year Door,GC,2004
39,9.1,88,Shenmue II,DC,2001
40,9.1,92,Fire Emblem: Awakening,3DS,2013
41,9.1,89,Left 4 Dead,PC,2008
42,9.1,86,Dino Crisis 2,PS,2000
43,9.1,91,Ratchet & Clank: Up Your Arsenal,PS2,2004
44,9.1,92,Team Fortress 2,PC,2007
45,9.1,95,The Legend of Zelda: Majora's Mask,N64,2000
46,9.1,96,Half-Life 2,PC,2004
47,9.1,73,God Hand,PS2,2006
48,9.1,91,Shadow of the Colossus,PS2,2005
49,9.1,87,Dark Cloud 2,PS2,2003
50,9.1,92,Super Smash Bros. Melee,GC,2001
51,9.1,97,Super Mario Galaxy 2,WII,2010
52,9.1,92,Conker's Bad Fur Day,N64,2001
53,9.1,85,Final Fantasy IX,PS4,2017
54,9.1,76,Suikoden V,PS2,2006
55,9.1,95,The Last of Us Remastered,PS4,2014
56,9.1,93,Okami,PS2,2006
57,9.1,88,Fire Emblem,GBA,2003
58,9.1,91,Metroid Prime Trilogy,WII,2009
59,9.1,79,Day of Defeat,PC,2003
60,9.0,96,Resident Evil 4,PS2,2005
61,9.0,84,Devil May Cry 3: Dante's Awakening,PS2,2005
62,9.0,93,Star Wars: Knights of the Old Republic,PC,2003
63,9.0,90,Ratchet & Clank: Going Commando,PS2,2003
64,9.0,95,The Legend of Zelda Collector's Edition,GC,2003
65,9.0,86,Golden Sun: The Lost Age,GBA,2003
66,9.0,93,Burnout 3: Takedown,PS2,2004
67,9.0,91,The Legend of Zelda: Ocarina of Time / Master Quest,GC,2003
68,9.0,90,Pikmin 2,GC,2004
69,9.0,88,Warcraft III: The Frozen Throne,PC,2003
70,9.0,94,Star Wars: Knights of the Old Republic,XBOX,2003
71,9.0,95,Grand Theft Auto: San Andreas,PS2,2004
72,9.0,92,Metroid Fusion,GBA,2002
73,9.0,90,Mario & Luigi: Superstar Saga,GBA,2003
74,9.0,91,Metal Gear Solid 3: Snake Eater,PS2,2004
75,9.0,81,Kingdom Hearts HD 2.5 ReMIX,PS3,2014
76,9.0,88,Sly 2: Band of Thieves,PS2,2004
77,9.0,81,To the Moon,PC,2011
78,9.0,91,Klonoa 2: Lunatea's Veil,PS2,2001
79,9.0,85,Kingdom Hearts,PS2,2002
80,9.0,97,Super Mario Galaxy,WII,2007
81,9.0,79,Resident Evil 3: Nemesis,DC,2000
82,9.0,92,Super Smash Bros. for Wii U,WIIU,2014
83,9.0,91,Bayonetta 2,WIIU,2014
84,9.0,87,Bully,PS2,2006
85,9.0,80,War of the Monsters,PS2,2003
86,9.0,89,The Witcher 3: Wild Hunt - Hearts of Stone,PC,2015
87,9.0,86,Thronebreaker: The Witcher Tales,PC,2018
88,9.0,95,The Legend of Zelda: Twilight Princess,WII,2006
89,9.0,87,Mario Kart 8 DLC Pack 1,WIIU,2014
90,9.0,77,Final Fantasy IV: The Complete Collection,PSP,2011
91,9.0,78,Drakan: The Ancients' Gates,PS2,2002
92,9.0,93,Persona 5,PS4,2017
93,9.0,81,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007
94,9.0,94,The Legend of Zelda: Ocarina of Time 3D,3DS,2011
95,9.0,67,Final Fantasy,PSP,2007
96,9.0,74,Dino Crisis,DC,2000
97,9.0,87,Diablo II: Lord of Destruction,PC,2001
98,9.0,95,Portal 2,PC,2011
99,9.0,81,Phoenix Wright: Ace Attorney,DS,2005
100,9.0,84,Onimusha 2: Samurai's Destiny,PS2,2002
101,9.0,90,NieR: Automata - Become as Gods Edition,XONE,2018
102,9.0,89,Silent Hill 2,PS2,2001
103,9.0,73,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007
104,9.0,89,Astro Bot: Rescue Mission,PS4,2018
105,9.0,92,Advance Wars,GBA,2001
106,9.0,92,Vagrant Story,PS,2000
107,9.0,91,Golden Sun,GBA,2001
108,9.0,84,Pokemon Ultra Sun,3DS,2017
109,9.0,87,Thief II: The Metal Age,PC,2000
110,9.0,91,The Legend of Zelda: A Link Between Worlds,3DS,2013
111,9.0,84,Vanquish,PS3,2010
112,9.0,90,Banjo-Tooie,N64,2000
113,9.0,78,Dynasty Warriors 4,PS2,2003
114,9.0,95,Red Dead Redemption,X360,2010
115,9.0,88,Age of Empires II: The Conquerors Expansion,PC,2000
116,9.0,91,Resident Evil 4: Wii Edition,WII,2007
117,9.0,84,Kingdom Hearts HD I.5 + II.5 Remix,PS4,2017
118,9.0,78,Vanquish,PC,2017
119,9.0,79,Parasite Eve II,PS,2000
120,9.0,84,Xenoblade Chronicles X,WIIU,2015
121,8.9,84,Ace Combat 5: The Unsung War,PS2,2004
122,8.9,86,Command & Conquer: Red Alert 2 - Yuri's Revenge,PC,2001
123,8.9,89,The Legend of Zelda: The Minish Cap,GBA,2005
124,8.9,89,Dragon Quest VIII: Journey of the Cursed King,PS2,2005
125,8.9,80,TrackMania United,PC,2006
126,8.9,88,WarioWare: Twisted!,GBA,2005
127,8.9,75,Chibi-Robo!,GC,2006
128,8.9,82,Need for Speed Most Wanted,PS2,2005
129,8.9,94,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003
130,8.9,93,SSX 3,PS2,2003
131,8.9,82,Zone of the Enders: The 2nd Runner,PS2,2003
132,8.9,88,Oddworld: Stranger's Wrath,XBOX,2005
133,8.9,83,Need for Speed Most Wanted,XBOX,2005
134,8.9,90,Metroid Prime 3: Corruption,WII,2007
135,8.9,68,Gungrave: Overdose,PS2,2004
136,8.9,89,Ace Combat 04: Shattered Skies,PS2,2001
137,8.9,84,Valkyrie Profile 2: Silmeria,PS2,2006
138,8.9,84,Star Wars: Battlefront II,PS2,2005
139,8.9,95,The Legend of Zelda: A Link to the Past,GBA,2002
140,8.9,96,The Legend of Zelda: The Wind Waker,GC,2003
141,8.9,96,BioShock,X360,2007
142,8.9,84,Space Rangers 2: Rise of the Dominators,PC,2006
143,8.9,81,Harvest Moon: Friends of Mineral Town,GBA,2003
144,8.9,81,MVP Baseball 2003,PS2,2003
145,8.9,89,Metal Gear Solid HD Collection,PS3,2011
146,8.9,87,"Warhammer 40,000: Dawn of War - Dark Crusade",PC,2006
147,8.9,81,Fatal Frame II: Crimson Butterfly,PS2,2003
148,8.9,87,Syphon Filter: Dark Mirror,PSP,2006
149,8.9,87,Devil May Cry 3: Special Edition,PS2,2006
150,8.9,81,Stronghold,PC,2001
151,8.9,74,Romance of the Three Kingdoms IX,PS2,2004
152,8.9,88,Medieval II: Total War,PC,2006
153,8.9,83,MLB 06: The Show,PS2,2006
154,8.9,89,Dark Souls,PS3,2011
155,8.9,94,Metal Gear Solid 3: Subsistence,PS2,2006
156,8.9,96,The Legend of Zelda: Twilight Princess,GC,2006
157,8.9,77,Romance of the Three Kingdoms VIII,PS2,2003
158,8.9,97,Super Mario Odyssey,Switch,2017
159,8.9,79,WWE Day of Reckoning,GC,2004
160,8.9,51,And 1 Streetball,PS2,2006
161,8.9,89,Dark Souls III,PS4,2016
162,8.9,65,Gungrave,PS2,2002
163,8.9,84,Pro Evolution Soccer 2009,WII,2009
164,8.9,92,Final Fantasy X,PS2,2001
165,8.9,67,Naval Ops: Warship Gunner,PS2,2003
166,8.9,89,The Legend of Zelda: Majora's Mask 3D,3DS,2015
167,8.9,59,Armored Core: Last Raven,PS2,2006
168,8.9,96,Uncharted 2: Among Thieves,PS3,2009
169,8.9,86,Professor Layton and the Unwound Future,DS,2010
170,8.9,87,Monkey Island 2 Special Edition: LeChuck's Revenge,PC,2010
171,8.9,93,Grand Theft Auto: San Andreas,PC,2005
172,8.9,73,Shadow Hearts,PS2,2001
173,8.9,94,God of War,PS2,2005
174,8.9,94,Tom Clancy's Splinter Cell Chaos Theory,XBOX,2005
175,8.9,89,Rise of Nations,PC,2003
176,8.9,87,Metal Gear Solid 2: Substance,PS2,2003
177,8.9,62,Street Racing Syndicate,PS2,2004
178,8.9,80,Life is Strange: Episode 3 - Chaos Theory,PC,2015
179,8.9,82,Kingdom Hearts: Birth by Sleep,PSP,2010
180,8.9,72,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003
181,8.9,83,Donkey Kong Country: Tropical Freeze,WIIU,2014
182,8.9,95,Red Dead Redemption,PS3,2010
183,8.9,96,Mass Effect 2,X360,2010
184,8.9,85,Metroid: Samus Returns,3DS,2017
185,8.9,85,Cities: Skylines,PC,2015
186,8.9,86,Xenoblade Chronicles 3D,3DS,2015
187,8.9,68,NASCAR 07,PS2,2006
188,8.9,67,Haunting Ground,PS2,2005
189,8.9,55,Evil Dead: A Fistful of Boomstick,PS2,2003
190,8.9,86,Black Mesa,PC,2012
191,8.9,90,Mario Kart 8 DLC Pack 2,WIIU,2015
192,8.9,90,Okami HD,PS3,2012
193,8.9,92,Bloodborne,PS4,2015
194,8.9,87,Ratchet & Clank Future: A Crack in Time,PS3,2009
195,8.9,76,Blood Omen 2,XBOX,2002
196,8.9,92,SSX Tricky,PS2,2001
197,8.9,93,Virtua Fighter 4: Evolution,PS2,2003
198,8.9,88,NieR: Automata,PS4,2017
199,8.9,81,Ratchet: Deadlocked,PS2,2005
200,8.9,81,Hitman: Blood Money,XBOX,2006
201,8.9,91,The Witcher 3: Wild Hunt - Blood and Wine,PS4,2016
202,8.9,78,Killzone: Mercenary,VITA,2013
203,8.9,86,The Secret of Monkey Island: Special Edition,PC,2009
204,8.9,93,Persona 4 Golden,VITA,2012
205,8.9,82,Mega Man Zero,GBA,2002
206,8.9,76,NFL Blitz 20-02,PS2,2002
207,8.9,80,Shenmue II,XBOX,2002
208,8.9,92,SoulCalibur II,XBOX,2003
209,8.9,82,Valkyria Chronicles 4,Switch,2018
210,8.9,70,Nobunaga's Ambition: Rise to Power,PS2,2008
211,8.9,87,Football Manager 2010,PC,2009
212,8.9,87,Plants vs. Zombies,PC,2009
213,8.9,90,Advance Wars: Dual Strike,DS,2005
214,8.9,86,Max Payne 2: The Fall of Max Payne,PC,2003
215,8.9,86,Beyond Good & Evil,PS2,2003
216,8.9,66,Tomb Raider: The Prophecy,GBA,2002
217,8.9,89,Demon's Souls,PS3,2009
218,8.9,81,Deus Ex: The Conspiracy,PS2,2002
219,8.9,74,Greg Hastings' Tournament Paintball,XBOX,2004
220,8.9,93,God of War II,PS2,2007
221,8.9,88,Final Fantasy Tactics: The War of the Lions,PSP,2007
222,8.9,85,Hot Shots Golf 3,PS2,2002
223,8.9,90,Okami,WII,2008
224,8.9,88,Mario Kart 8,WIIU,2014
225,8.9,91,Mario Tennis,N64,2000
226,8.9,85,The Wolf Among Us: Episode 1 - Faith,PC,2013
227,8.9,91,Spyro: Year of the Dragon,PS,2000
228,8.9,77,Resident Evil 2,DC,2000
229,8.9,74,Fatal Frame,PS2,2002
230,8.9,89,The Elder Scrolls III: Morrowind,PC,2002
231,8.9,93,Super Smash Bros. Brawl,WII,2008
232,8.9,86,Katamari Damacy,PS2,2004
233,8.9,88,Ratchet & Clank,PS2,2002
234,8.9,79,Gothic II,PC,2003
235,8.9,65,Taz Wanted,PS2,2002
236,8.9,85,Fire Emblem: Path of Radiance,GC,2005
237,8.9,89,Age of Mythology,PC,2002
238,8.9,89,Metroid: Zero Mission,GBA,2004
239,8.9,88,Tiger Woods PGA Tour 2003,PS2,2002
240,8.9,97,Perfect Dark,N64,2000
241,8.9,85,Freelancer,PC,2003
242,8.9,88,Tiger Woods PGA Tour 2005,XBOX,2004
243,8.9,88,Counter-Strike: Source,PC,2004
244,8.9,82,Ogre Battle 64,N64,2000
245,8.9,85,WWE SmackDown! Here Comes the Pain,PS2,2003
246,8.9,89,The Chronicles of Riddick: Escape From Butcher Bay,XBOX,2004
247,8.9,85,Fire Emblem: The Sacred Stones,GBA,2005
248,8.9,93,Skies of Arcadia,DC,2000
249,8.9,70,Silent Hill 2,PC,2002
250,8.9,83,Metal Gear Solid,PC,2000
251,8.9,80,Vampire: The Masquerade - Bloodlines,PC,2004
252,8.9,87,Rallisport Challenge 2,XBOX,2004
253,8.9,83,Breath of Fire IV,PS,2000
254,8.9,85,Silent Hill 3,PS2,2003
255,8.9,90,TimeSplitters 2,PS2,2002
256,8.9,86,Mercenaries,XBOX,2005
257,8.9,85,Shadow Hearts: Covenant,PS2,2004
258,8.9,81,Supreme Commander: Forged Alliance,PC,2007
259,8.9,86,Final Fantasy X / X-2 HD Remaster,VITA,2014
260,8.9,78,Donkey Kong Country,GBA,2003
261,8.9,90,The Legend of Zelda: The Wind Waker HD,WIIU,2013
262,8.9,83,Command & Conquer: Generals - Zero Hour,PC,2003
263,8.9,92,ESPN NFL 2K5,XBOX,2004
264,8.9,85,Rollcage Stage II,PS,2000
265,8.9,93,Super Mario 3D World,WIIU,2013
266,8.9,80,The Evil Within 2,PC,2017
267,8.9,80,Tom Clancy's Ghost Recon 2,XBOX,2004
268,8.9,83,Def Jam: Fight for NY,PS2,2004
269,8.9,78,Culdcept,PS2,2003
270,8.9,87,Power Stone 2,DC,2000
271,8.9,86,Medal of Honor Underground,PS,2000
272,8.9,86,Lunar 2: Eternal Blue Complete,PS,2000
273,8.9,84,Midnight Club 3: DUB Edition,PS2,2005
274,8.9,92,Super Mario World: Super Mario Advance 2,GBA,2002
275,8.9,74,Armored Core 3,PS2,2002
276,8.9,88,Tactics Ogre: The Knight of Lodis,GBA,2002
277,8.9,91,Yoshi's Island: Super Mario Advance 3,GBA,2002
278,8.9,87,Tearaway,VITA,2013
279,8.9,79,Downhill Domination,PS2,2003
280,8.9,78,Fatal Frame III: The Tormented,PS2,2005
281,8.9,91,Ninja Gaiden,XBOX,2004
282,8.9,84,Command & Conquer: Red Alert 2,PC,2000
283,8.9,70,Ty the Tasmanian Tiger,PS2,2002
284,8.9,77,Shining Force: Resurrection of the Dark Dragon,GBA,2004
285,8.9,80,Donkey Kong Country 2,GBA,2004
286,8.9,80,RollerCoaster Tycoon: Loopy Landscapes,PC,2000
287,8.9,85,Metal Gear Solid: The Twin Snakes,GC,2004
288,8.9,84,Mercenaries,PS2,2005
289,8.8,83,Crisis Core: Final Fantasy VII,PSP,2008
290,8.8,80,Lazy Raiders,X360,2010
291,8.8,87,Steins Gate,PC,2014
292,8.8,92,Journey,PS3,2012
293,8.8,76,Rayman 3: Hoodlum Havoc,PS2,2003
294,8.8,89,The Walking Dead: Episode 5 - No Time Left,PC,2012
295,8.8,87,Hollow Knight,PC,2017
296,8.8,65,NHL Rivals 2004,XBOX,2003
297,8.8,73,Samurai Warriors,PS2,2004
298,8.8,74,GT Advance 3: Pro Concept Racing,GBA,2003
299,8.8,65,Digimon Rumble Arena 2,XBOX,2004
300,8.8,82,"Nine Hours, Nine Persons, Nine Doors",DS,2010
301,8.8,62,NFL GameDay 2002,PS,2001
302,8.8,81,Defense Grid: The Awakening,PC,2008
303,8.8,88,Crimson Skies: High Road to Revenge,XBOX,2003
304,8.8,81,Railroad Tycoon II: Gold Edition,DC,2000
305,8.8,81,Valkyrie Profile,PS,2000
306,8.8,82,Capitalism II,PC,2001
