,Name,Platform,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
0,Wii Sports,Wii,2006,41.36,28.96,3.77,8.45,82.53,76.0,51,8,322
2,Mario Kart Wii,Wii,2008,15.68,12.76,3.79,3.29,35.52,82.0,73,8.3,709
3,Wii Sports Resort,Wii,2009,15.61,10.93,3.28,2.95,32.77,80.0,73,8,192
6,New Super Mario Bros.,DS,2006,11.28,9.14,6.5,2.88,29.8,89.0,65,8.5,431
7,Wii Play,Wii,2006,13.96,9.18,2.93,2.84,28.92,58.0,41,6.6,129
8,New Super Mario Bros. Wii,Wii,2009,14.44,6.94,4.7,2.24,28.32,87.0,80,8.4,594
11,Mario Kart DS,DS,2005,9.71,7.47,4.13,1.9,23.21,91.0,64,8.6,464
13,Wii Fit,Wii,2007,8.92,8.03,3.6,2.15,22.7,80.0,63,7.7,146
14,Kinect Adventures!,X360,2010,15.0,4.89,0.24,1.69,21.81,61.0,45,6.3,106
15,Wii Fit Plus,Wii,2009,9.01,8.49,2.53,1.77,21.79,80.0,33,7.4,52
16,Grand Theft Auto V,PS3,2013,7.02,9.09,0.98,3.96,21.04,97.0,50,8.2,3994
17,Grand Theft Auto: San Andreas,PS2,2004,9.43,0.4,0.41,10.57,20.81,95.0,80,9,1588
23,Grand Theft Auto V,X360,2013,9.66,5.14,0.06,1.41,16.27,97.0,58,8.1,3711
24,Grand Theft Auto: Vice City,PS2,2002,8.41,5.49,0.47,1.78,16.15,95.0,62,8.7,730
28,Gran Turismo 3: A-Spec,PS2,2001,6.85,5.09,1.87,1.16,14.98,95.0,54,8.4,314
29,Call of Duty: Modern Warfare 3,X360,2011,9.04,4.24,0.13,1.32,14.73,88.0,81,3.4,8713
32,Call of Duty: Black Ops,X360,2010,9.7,3.68,0.11,1.13,14.61,87.0,89,6.3,1454
34,Call of Duty: Black Ops II,PS3,2012,4.99,5.73,0.65,2.42,13.79,83.0,21,5.3,922
35,Call of Duty: Black Ops II,X360,2012,8.25,4.24,0.07,1.12,13.67,83.0,73,4.8,2256
36,Call of Duty: Modern Warfare 2,X360,2009,8.52,3.59,0.08,1.28,13.47,94.0,100,6.3,2698
37,Call of Duty: Modern Warfare 3,PS3,2011,5.54,5.73,0.49,1.57,13.32,88.0,39,3.2,5234
38,Grand Theft Auto III,PS2,2001,6.99,4.51,0.3,1.3,13.1,97.0,56,8.5,664
39,Super Smash Bros. Brawl,Wii,2008,6.62,2.55,2.66,1.01,12.84,93.0,81,8.9,1662
40,Mario Kart 7,3DS,2011,5.03,4.02,2.69,0.91,12.66,85.0,73,8.2,632
41,Call of Duty: Black Ops,PS3,2010,5.99,4.37,0.48,1.79,12.63,88.0,58,6.4,1094
42,Grand Theft Auto V,PS4,2014,3.96,6.31,0.38,1.97,12.61,97.0,66,8.3,2899
43,Animal Crossing: Wild World,DS,2005,2.5,3.45,5.33,0.86,12.13,86.0,57,8.7,242
44,Halo 3,X360,2007,7.97,2.81,0.13,1.21,12.12,94.0,86,7.8,4100
48,Gran Turismo 4,PS2,2004,3.01,0.01,1.1,7.53,11.66,89.0,74,8.5,272
49,Super Mario Galaxy,Wii,2007,6.06,3.35,1.2,0.74,11.35,97.0,73,8.9,2147
51,Grand Theft Auto IV,X360,2008,6.76,3.07,0.14,1.03,11.01,98.0,86,7.9,2951
52,Gran Turismo,PS,1997,4.02,3.87,2.54,0.52,10.95,96.0,16,8.7,138
53,Super Mario 3D Land,3DS,2011,4.89,3.0,2.14,0.78,10.81,90.0,82,8.4,921
54,Gran Turismo 5,PS3,2010,2.96,4.82,0.81,2.11,10.7,84.0,82,7.5,1112
55,Call of Duty: Modern Warfare 2,PS3,2009,4.99,3.64,0.38,1.6,10.6,94.0,67,6.3,2073
57,Grand Theft Auto IV,PS3,2008,4.76,3.69,0.44,1.61,10.5,98.0,64,7.5,2833
60,Call of Duty: Ghosts,X360,2013,6.73,2.56,0.04,0.91,10.25,73.0,29,2.6,2117
62,New Super Mario Bros. 2,3DS,2012,3.66,3.14,2.47,0.63,9.9,78.0,70,7.2,424
64,Halo: Reach,X360,2010,7.04,1.95,0.08,0.79,9.86,91.0,99,7.9,2045
65,Final Fantasy VII,PS,1997,3.01,2.47,3.28,0.96,9.72,92.0,20,9.2,1282
66,Halo 4,X360,2012,6.65,2.28,0.04,0.74,9.71,87.0,87,7,3260
67,Gran Turismo 2,PS,1999,3.88,3.42,1.69,0.5,9.49,93.0,23,9,135
70,Call of Duty 4: Modern Warfare,X360,2007,5.93,2.36,0.13,0.9,9.31,94.0,70,8.4,1320
73,Animal Crossing: New Leaf,3DS,2012,2.03,2.36,4.39,0.39,9.16,88.0,70,8.7,626
74,Mario Party DS,DS,2007,4.4,1.85,1.98,0.68,8.91,72.0,27,7.8,85
75,The Elder Scrolls V: Skyrim,X360,2011,5.05,2.79,0.1,0.85,8.79,96.0,89,8.4,3589
77,FIFA 16,PS4,2015,1.12,6.12,0.06,1.28,8.57,82.0,42,4.3,896
78,Halo 2,XB,2004,6.82,1.53,0.05,0.08,8.49,95.0,91,8.2,1218
79,Wii Party,Wii,2010,1.75,3.47,2.49,0.67,8.38,68.0,42,7.4,54
80,Mario Party 8,Wii,2007,3.74,2.24,1.58,0.7,8.27,62.0,41,6.3,190
81,FIFA Soccer 13,PS3,2012,1.06,5.01,0.13,1.97,8.16,88.0,37,6.6,348
84,Final Fantasy X,PS2,2001,2.91,2.07,2.73,0.33,8.05,92.0,53,8.7,1056
85,The Sims 3,PC,2009,0.99,6.42,0.0,0.6,8.01,86.0,75,7.6,886
88,Final Fantasy VIII,PS,1999,2.28,1.72,3.63,0.23,7.86,90.0,24,8.6,644
90,Pokémon Platinum Version,DS,2008,2.76,1.72,2.69,0.54,7.72,83.0,46,8.5,203
