,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
0,Wii Sports    ,N/A  ,19th Nov 06  ,Wii,Nintendo  ,Nintendo EAD  ,82.87m,,,,82.87m,,,N/A  
1,Super Mario Bros.    ,8.2,18th Oct 85  ,NES,Nintendo  ,Nintendo EAD  ,40.24m,,,,40.24m,,,N/A  
2,Mario Kart Wii    ,9.1,27th Apr 08  ,Wii,Nintendo  ,Nintendo EAD  ,37.20m,,,,37.20m,,11th Apr 18,8.7
3,PlayerUnknown's Battlegrounds    ,N/A  ,21st Dec 17  ,PC,PUBG Corporation  ,PUBG Corporation  ,36.60m,,,,36.60m,,13th Nov 18,N/A  
4,Wii Sports Resort    ,8.8,26th Jul 09  ,Wii,Nintendo  ,Nintendo EAD  ,33.10m,,,,33.10m,,,8.8
5,Pokémon Red / Green / Blue Version    ,N/A  ,30th Sep 98  ,GB,Nintendo  ,Game Freak  ,31.38m,,,,31.38m,,,N/A  
6,New Super Mario Bros.    ,8.1,15th May 06  ,DS,Nintendo  ,Nintendo EAD  ,30.80m,,,,30.80m,,,N/A  
7,New Super Mario Bros. Wii    ,9.2,15th Nov 09  ,Wii,Nintendo  ,Nintendo EAD  ,30.26m,,,,30.26m,,,9.1
8,Tetris    ,N/A  ,01st Jun 89  ,GB,Nintendo  ,Bullet Proof Software  ,30.26m,,,,30.26m,,,N/A  
9,Minecraft    ,N/A  ,10th May 10  ,PC,Mojang  ,Mojang AB  ,30.01m,,,,30.01m,,05th Aug 18,N/A  
10,Duck Hunt    ,N/A  ,15th Oct 85  ,NES,Nintendo  ,Nintendo R&D1  ,28.31m,,,,28.31m,,,N/A  
11,Wii Play    ,4.5,12th Feb 07  ,Wii,Nintendo  ,Nintendo EAD  ,28.02m,,,,28.02m,,,5.3
12,Kinect Adventures!    ,N/A  ,04th Nov 10  ,X360,Microsoft Game Studios  ,Good Science Studio  ,24.00m,,,,24.00m,,29th Sep 18,6.2
13,Nintendogs    ,N/A  ,23rd Aug 05  ,DS,Nintendo  ,Nintendo EAD  ,23.96m,,,,23.96m,,,N/A  
14,Mario Kart DS    ,9.4,14th Nov 05  ,DS,Nintendo  ,Nintendo EAD  ,23.60m,,,,23.60m,,,N/A  
15,Pokémon Gold / Silver Version    ,N/A  ,14th Oct 00  ,GB,Nintendo  ,Game Freak  ,23.10m,,,,23.10m,,,N/A  
16,Wii Fit    ,N/A  ,21st May 08  ,Wii,Nintendo  ,Nintendo EAD  ,22.67m,,,,22.67m,,,8
17,Wii Fit Plus    ,N/A  ,04th Oct 09  ,Wii,Nintendo  ,Nintendo EAD  ,21.13m,,,,21.13m,,,N/A  
18,Super Mario World    ,N/A  ,13th Aug 91  ,SNES,Nintendo  ,Nintendo EAD  ,20.61m,,,,20.61m,,10th Aug 18,N/A  
19,Grand Theft Auto V    ,N/A  ,17th Sep 13  ,PS3,Rockstar Games  ,Rockstar North  ,,20.32m,6.37m,9.85m,20.32m,3.12m,,N/A  
20,Grand Theft Auto V    ,N/A  ,18th Nov 14  ,PS4,Rockstar Games  ,Rockstar North  ,,19.39m,6.06m,9.71m,19.39m,3.02m,03rd Jan 18,N/A  
21,Brain Age: Train Your Brain in Minutes a Day    ,N/A  ,17th Apr 06  ,DS,Nintendo  ,Nintendo SDD  ,19.01m,,,,19.01m,,,N/A  
22,Garry's Mod    ,N/A  ,24th Dec 04  ,PC,Unknown  ,Team Garry  ,18.58m,,,,18.58m,,,N/A  
23,Mario Kart 7    ,N/A  ,04th Dec 11  ,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,18.26m,,,,18.26m,,,N/A  
24,Super Mario Land    ,N/A  ,01st Aug 89  ,GB,Nintendo  ,Nintendo R&D1  ,18.14m,,,,18.14m,,,N/A  
25,Pokémon Diamond / Pearl Version    ,N/A  ,28th Apr 07  ,DS,Nintendo  ,Game Freak  ,17.67m,,,,17.67m,,,N/A  
26,Grand Theft Auto: San Andreas    ,N/A  ,26th Oct 04  ,PS2,Rockstar Games  ,Rockstar North  ,17.30m,,,,17.30m,,,N/A  
27,Super Mario Bros. 3    ,N/A  ,12th Feb 90  ,NES,Nintendo  ,Nintendo R&D2  ,17.28m,,,,17.28m,,09th Aug 18,N/A  
28,Mario Kart 8 Deluxe    ,N/A  ,28th Apr 17  ,NS,Nintendo  ,Nintendo EPD  ,16.69m,,,,16.69m,,19th Nov 18,N/A  
29,Pokémon X/Y    ,9.7,12th Oct 13  ,3DS,Nintendo  ,Game Freak  ,16.39m,,,,16.39m,,06th Jan 18,N/A  
30,Pokémon Ruby / Sapphire Version    ,N/A  ,17th Mar 03  ,GBA,Nintendo  ,Game Freak  ,16.22m,,,,16.22m,,,N/A  
31,Pokémon Sun/Moon    ,N/A  ,18th Nov 16  ,3DS,Nintendo  ,Game Freak  ,16.15m,,,,16.15m,,03rd Aug 18,N/A  
32,Grand Theft Auto: Vice City    ,N/A  ,28th Oct 02  ,PS2,Rockstar Games  ,Rockstar North  ,,16.15m,8.41m,5.49m,16.15m,1.78m,,N/A  
33,Grand Theft Auto V    ,N/A  ,17th Sep 13  ,X360,Rockstar Games  ,Rockstar North  ,,15.86m,9.06m,5.33m,15.86m,1.42m,,N/A  
34,Pokémon Black / White Version    ,9,06th Mar 11  ,DS,Nintendo  ,Game Freak  ,15.64m,,,,15.64m,,,N/A  
35,Call of Duty: Black Ops 3    ,N/A  ,06th Nov 15  ,PS4,Activision  ,Treyarch  ,,15.09m,6.18m,6.05m,15.09m,2.44m,14th Jan 18,N/A  
36,Counter-Strike: Source    ,N/A  ,16th Nov 04  ,PC,VU Games  ,Valve Software  ,15.00m,,,,15.00m,,,N/A  
37,Sonic the Hedgehog    ,N/A  ,23rd Jun 91  ,GEN,Sega  ,Sonic Team  ,15.00m,,,,15.00m,,,N/A  
38,Gran Turismo 3: A-Spec    ,N/A  ,09th Jul 01  ,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,14.89m,,,,14.89m,,,N/A  
39,Brain Age 2: More Training in Minutes a Day    ,N/A  ,20th Aug 07  ,DS,Nintendo  ,Nintendo SDD  ,14.88m,,,,14.88m,,,N/A  
40,Call of Duty: Modern Warfare 3    ,N/A  ,08th Nov 11  ,X360,Activision  ,Infinity Ward  ,,14.82m,9.07m,4.29m,14.82m,1.33m,,N/A  
41,Call of Duty: Black Ops    ,N/A  ,09th Nov 10  ,X360,Activision  ,Treyarch  ,,14.74m,9.76m,3.73m,14.74m,1.14m,,N/A  
42,Pokémon Yellow: Special Pikachu Edition    ,N/A  ,19th Oct 99  ,GB,Nintendo  ,Game Freak  ,14.64m,,,,14.64m,,,N/A  
43,Halo 3    ,9.5,25th Sep 07  ,X360,Microsoft Game Studios  ,Bungie Studios  ,14.50m,,,,14.50m,,11th Oct 18,8.8
44,Super Mario Odyssey    ,N/A  ,27th Oct 17  ,NS,Nintendo  ,Nintendo EPD  ,14.44m,,,,14.44m,,19th Nov 18,N/A  
45,Pokémon Omega Ruby/Pokémon Alpha Sapphire    ,N/A  ,21st Nov 14  ,3DS,Nintendo  ,Game Freak  ,14.19m,,,,14.19m,,03rd Aug 18,N/A  
46,Red Dead Redemption 2    ,N/A  ,26th Oct 18  ,PS4,Rockstar Games  ,Rockstar Games  ,,13.94m,5.26m,6.21m,13.94m,2.26m,02nd Nov 18,8
47,Call of Duty: Black Ops II    ,N/A  ,13th Nov 12  ,X360,Activision  ,Treyarch  ,,13.86m,8.27m,4.32m,13.86m,1.20m,07th Apr 18,N/A  
48,Super Smash Bros. Ultimate    ,9.7,07th Dec 18  ,NS,Nintendo  ,Bandai Namco Games  ,13.81m,,,,13.81m,,18th Oct 18,9
49,Call of Duty: Black Ops II    ,N/A  ,13th Nov 12  ,PS3,Activision  ,Treyarch  ,,13.80m,4.99m,5.88m,13.80m,2.28m,07th Apr 18,N/A  
50,Call of Duty: Modern Warfare 2    ,9,10th Nov 09  ,X360,Activision  ,Infinity Ward  ,,13.53m,8.54m,3.63m,13.53m,1.28m,,9
51,Call of Duty: WWII    ,N/A  ,03rd Nov 17  ,PS4,Activision  ,Sledgehammer Games  ,,13.40m,4.67m,6.21m,13.40m,2.12m,31st Dec 17,N/A  
52,Call of Duty: Modern Warfare 3    ,N/A  ,08th Nov 11  ,PS3,Activision  ,Infinity Ward  ,,13.35m,5.54m,5.78m,13.35m,1.54m,,N/A  
53,Super Smash Bros. Brawl    ,9.7,09th Mar 08  ,Wii,Nintendo  ,Project Sora  ,13.30m,,,,13.30m,,,9.2
54,New Super Mario Bros. 2    ,N/A  ,19th Aug 12  ,3DS,Nintendo  ,Nintendo  ,13.16m,,,,13.16m,,30th Jan 18,N/A  
55,Grand Theft Auto III    ,N/A  ,23rd Oct 01  ,PS2,Rockstar Games  ,DMA Design  ,,13.10m,6.99m,4.51m,13.10m,1.30m,,N/A  
56,Portal 2    ,N/A  ,19th Apr 11  ,PC,Valve  ,Valve Software  ,13.06m,,,,13.06m,,,N/A  
57,Minecraft    ,N/A  ,04th Jun 13  ,X360,Microsoft Studios  ,Mojang  ,13.00m,,,,13.00m,,05th Aug 18,N/A  
58,Super Mario Galaxy    ,9.6,12th Nov 07  ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,12.79m,,,,12.79m,,,9.6
59,The Legend of Zelda: Breath of the Wild    ,10,03rd Mar 17  ,NS,Nintendo  ,Nintendo EPD  ,12.77m,,,,12.77m,,19th Nov 18,N/A  
60,Pokémon Heart Gold / Soul Silver Version    ,N/A  ,14th Mar 10  ,DS,Nintendo  ,Game Freak  ,12.72m,,,,12.72m,,,8.5
61,Call of Duty: Black Ops    ,N/A  ,09th Nov 10  ,PS3,Activision  ,Treyarch  ,,12.67m,6.01m,4.40m,12.67m,1.78m,,N/A  
