,title,user_score,release_date,console,keydata
0,Grand Theft Auto V    ,N/A  ,2013,PS3,20.32
1,Grand Theft Auto V    ,N/A  ,2014,PS4,19.39
2,Grand Theft Auto: Vice City    ,N/A  ,2002,PS2,16.15
3,Grand Theft Auto V    ,N/A  ,2013,X360,15.86
4,Call of Duty: Black Ops 3    ,N/A  ,2015,PS4,15.09
5,Call of Duty: Modern Warfare 3    ,N/A  ,2011,X360,14.82
6,Call of Duty: Black Ops    ,N/A  ,2010,X360,14.74
7,Red Dead Redemption 2    ,N/A  ,2018,PS4,13.94
8,Call of Duty: Black Ops II    ,N/A  ,2012,X360,13.86
9,Call of Duty: Black Ops II    ,N/A  ,2012,PS3,13.80
10,Call of Duty: Modern Warfare 2    ,9,2009,X360,13.53
11,Call of Duty: WWII    ,N/A  ,2017,PS4,13.40
12,Call of Duty: Modern Warfare 3    ,N/A  ,2011,PS3,13.35
13,Grand Theft Auto III    ,N/A  ,2001,PS2,13.10
14,Call of Duty: Black Ops    ,N/A  ,2010,PS3,12.67
15,FIFA 18    ,N/A  ,2017,PS4,11.80
16,Grand Theft Auto IV    ,N/A  ,2008,X360,11.09
17,FIFA 17    ,N/A  ,2016,PS4,10.94
18,Call of Duty: Modern Warfare 2    ,N/A  ,2009,PS3,10.61
19,Grand Theft Auto IV    ,9,2008,PS3,10.57
20,Call of Duty: Ghosts    ,N/A  ,2013,X360,10.41
21,Just Dance 3    ,N/A  ,2011,Wii,10.14
22,Call of Duty: Ghosts    ,N/A  ,2013,PS3,10.13
23,Halo: Reach    ,N/A  ,2010,X360,9.97
24,Halo 4    ,N/A  ,2012,X360,9.96
25,Call of Duty 4: Modern Warfare    ,9,2007,X360,9.41
26,Call of Duty: Black Ops IIII    ,N/A  ,2018,PS4,9.32
27,FIFA 19    ,N/A  ,2018,PS4,9.15
28,The Elder Scrolls V: Skyrim    ,N/A  ,2011,X360,8.88
29,Grand Theft Auto V    ,9,2014,XOne,8.72
30,Call of Duty: Infinite Warfare    ,N/A  ,2016,PS4,8.48
31,Fallout 4    ,N/A  ,2015,PS4,8.48
32,FIFA 16    ,N/A  ,2015,PS4,8.22
33,Star Wars Battlefront (2015)    ,N/A  ,2015,PS4,8.03
34,FIFA 13    ,N/A  ,2012,PS3,8.01
35,The Sims 3    ,N/A  ,2009,PC,7.96
36,Grand Theft Auto: Liberty City Stories    ,N/A  ,2005,PSP,7.72
37,Crash Bandicoot 2: Cortex Strikes Back    ,N/A  ,1997,PS,7.58
38,Call of Duty: Advanced Warfare    ,N/A  ,2014,PS4,7.53
39,Call of Duty: World at War    ,7.8,2008,X360,7.50
40,Call of Duty: Black Ops 3    ,N/A  ,2015,XOne,7.37
41,Battlefield 3    ,N/A  ,2011,X360,7.35
42,Battlefield 1    ,N/A  ,2016,PS4,7.26
43,Battlefield 3    ,N/A  ,2011,PS3,7.21
44,Need for Speed Underground    ,N/A  ,2003,PS2,7.20
45,Crash Bandicoot 3: Warped    ,N/A  ,1998,PS,7.13
46,Need for Speed Underground 2    ,N/A  ,2004,PS2,6.90
47,Just Dance 4    ,N/A  ,2012,Wii,6.89
48,Uncharted 3: Drake's Deception    ,6.3,2011,PS3,6.84
49,Medal of Honor: Frontline    ,N/A  ,2002,PS2,6.83
50,Zumba Fitness    ,N/A  ,2010,Wii,6.76
51,Uncharted 2: Among Thieves    ,9.6,2009,PS3,6.74
52,Call of Duty 4: Modern Warfare    ,9.6,2007,PS3,6.72
53,FIFA Soccer 12    ,N/A  ,2011,PS3,6.65
54,FIFA 14    ,N/A  ,2013,PS3,6.61
55,Red Dead Redemption    ,N/A  ,2011,PS3,6.57
56,Assassin's Creed III    ,N/A  ,2012,PS3,6.50
57,Red Dead Redemption    ,10,2010,X360,6.50
58,The Elder Scrolls V: Skyrim    ,N/A  ,2011,PS3,6.49
59,Halo 3: ODST    ,N/A  ,2009,X360,6.35
60,Minecraft    ,N/A  ,2014,PS4,6.33
61,FIFA 15    ,N/A  ,2014,PS4,6.32
62,The Last of Us    ,N/A  ,2013,PS3,6.27
63,Driver    ,N/A  ,1999,PS,6.27
64,Call of Duty: WWII    ,N/A  ,2017,XOne,6.23
65,God of War (2018)    ,N/A  ,2018,PS4,6.15
66,Minecraft    ,N/A  ,2014,PS3,6.05
67,Metal Gear Solid 2: Sons of Liberty    ,7,2001,PS2,6.05
68,Metal Gear Solid 4: Guns of the Patriots    ,9.8,2008,PS3,6.00
69,LittleBigPlanet    ,9.2,2008,PS3,5.85
70,Red Dead Redemption 2    ,N/A  ,2018,XOne,5.77
71,Destiny    ,N/A  ,2014,PS4,5.76
72,Tekken 2    ,N/A  ,1996,PS,5.74
73,Uncharted: The Nathan Drake Collection    ,N/A  ,2015,PS4,5.70
74,LEGO Star Wars: The Complete Saga    ,N/A  ,2007,Wii,5.66
75,Cooking Mama    ,N/A  ,2006,DS,5.66
76,Assassin's Creed II    ,N/A  ,2009,PS3,5.57
77,Assassin's Creed    ,8,2007,X360,5.55
78,Batman: Arkham City    ,N/A  ,2011,PS3,5.54
79,Forza Motorsport 3    ,9.8,2009,X360,5.50
80,Minecraft    ,N/A  ,2014,XOne,5.43
81,Call of Duty: World at War    ,N/A  ,2008,PS3,5.43
82,Crash Bandicoot: The Wrath of Cortex    ,N/A  ,2001,PS2,5.42
83,The Witcher 3: Wild Hunt    ,N/A  ,2015,PS4,5.39
84,Final Fantasy XIII    ,9.2,2010,PS3,5.35
85,Assassin's Creed III    ,N/A  ,2012,X360,5.31
86,Assassin's Creed II    ,N/A  ,2009,X360,5.30
87,Tomb Raider II    ,N/A  ,1997,PS,5.24
88,Madden NFL 2004    ,N/A  ,2003,PS2,5.23
89,Call of Duty: Advanced Warfare    ,N/A  ,2014,XOne,5.22
90,Medal of Honor: Rising Sun    ,N/A  ,2003,PS2,5.13
91,Battlefield 1    ,N/A  ,2016,XOne,5.13
92,Microsoft Flight Simulator    ,N/A  ,1996,PC,5.12
93,Guitar Hero II    ,N/A  ,2006,PS2,5.12
94,FIFA 13    ,N/A  ,2012,X360,5.11
95,Resident Evil 5    ,8.8,2009,PS3,5.10
96,Fable III    ,N/A  ,2010,X360,5.10
97,Mario & Sonic at the Olympic Games    ,N/A  ,2008,DS,5.10
98,Grand Theft Auto: Vice City Stories    ,N/A  ,2006,PSP,5.08
99,FIFA Soccer 11    ,N/A  ,2010,PS3,5.08
100,Final Fantasy XV    ,N/A  ,2016,PS4,5.07
101,Fallout 4    ,N/A  ,2015,XOne,5.03
102,Tony Hawk's Pro Skater    ,N/A  ,1999,PS,5.02
103,Warzone 2100    ,N/A  ,1999,PS,5.01
104,Spyro the Dragon    ,N/A  ,1998,PS,5.00
105,Guitar Hero III: Legends of Rock    ,N/A  ,2007,PS2,4.98
106,Uncharted: Drake's Fortune    ,8.6,2007,PS3,4.97
107,Fallout 3    ,8.6,2008,X360,4.96
108,Madden NFL 06    ,N/A  ,2005,PS2,4.91
109,Call of Duty: Black Ops IIII    ,N/A  ,2018,XOne,4.85
110,Crash Bandicoot N. Sane Trilogy    ,N/A  ,2017,PS4,4.83
111,Assassin's Creed    ,8.5,2007,PS3,4.83
112,Call of Duty: Infinite Warfare    ,N/A  ,2016,XOne,4.79
113,Crash Team Racing    ,N/A  ,1999,PS,4.79
114,LEGO Star Wars: The Complete Saga    ,N/A  ,2007,DS,4.77
115,Batman: Arkham City    ,N/A  ,2011,X360,4.75
116,Driver 2    ,N/A  ,2000,PS,4.73
