,console,date,metascore,name,tot_sale,userscore
0,3DS,2012,68.0,FIFA Soccer 13,0.29,37.0
1,3DS,2016,81.0,Kirby: Planet Robobot,0.93,87.0
2,3DS,2011,61.0,Rayman 3D,0.64,66.0
3,3DS,2011,43.0,Asphalt 3D,0.49,44.0
4,3DS,2011,77.0,Tom Clancy's Ghost Recon: Shadow Wars,0.34,79.0
5,3DS,2014,76.0,Pokemon Art Academy ,0.49,77.0
6,3DS,2016,71.0,Terraria,0.09,71.0
7,3DS,2011,65.0,Resident Evil: The Mercenaries 3D,0.49,64.0
8,3DS,2012,71.0,Rayman Origins,0.15,63.0
9,3DS,2011,82.0,Skylanders: Spyro's Adventure,0.57,49.0
10,3DS,2013,49.0,Beyblade Evolution,0.04,63.0
11,3DS,2011,43.0,Pac-Man Party 3D,0.15,54.0
12,3DS,2013,59.0,Sonic Lost World,0.49,65.0
13,3DS,2012,75.0,Kingdom Hearts 3D: Dream Drop Distance,1.58,82.0
14,3DS,2013,86.0,Luigi's Mansion: Dark Moon,4.59,84.0
15,3DS,2014,83.0,Theatrhythm Final Fantasy: Curtain Call,0.37,82.0
16,3DS,2011,69.0,Shinobi,0.22,73.0
17,3DS,2011,55.0,Super Monkey Ball 3D,0.49,55.0
18,3DS,2015,46.0,Gravity Falls: Legend of the Gnome Gemulets,0.04,58.0
19,3DS,2011,75.0,Ridge Racer 3D,0.49,72.0
20,3DS,2016,60.0,LEGO Marvel's Avengers,0.19,71.0
21,3DS,2016,72.0,Disney Art Academy,0.11,68.0
22,3DS,2012,62.0,Angry Birds Trilogy,0.63,46.0
23,3DS,2013,81.0,Professor Layton and the Azran Legacy,0.75,79.0
24,3DS,2015,81.0,Bravely Second: End Layer,0.49,74.0
25,3DS,2013,74.0,Yumi's Odd Odyssey,0.03,77.0
26,3DS,2013,71.0,Disney Magical World,0.92,75.0
27,3DS,2011,66.0,Sonic Generations,1.02,69.0
28,3DS,2012,64.0,Tekken 3D: Prime Edition,0.2,59.0
29,3DS,2011,82.0,Cave Story 3D,0.14,77.0
30,3DS,2013,68.0,Scribblenauts Unmasked: A DC Comics Adventure,0.1,62.0
31,3DS,2014,78.0,Mario Golf: World Tour,0.48,82.0
32,3DS,2014,26.0,Tenkai Knights: Brave Battle,0.02,24.0
33,3DS,2011,64.0,BlazBlue: Continuum Shift II,0.11,61.0
34,3DS,2011,58.0,Steel Diver,0.49,63.0
35,3DS,2011,51.0,Cubic Ninja,0.1,59.0
36,3DS,2012,82.0,Resident Evil: Revelations,0.88,85.0
37,3DS,2011,73.0,Pro Evolution Soccer 2011 3D,0.38,67.0
38,3DS,2011,75.0,Tales of the Abyss,0.83,76.0
39,3DS,2011,85.0,Super Street Fighter IV: 3D Edition,1.21,81.0
40,3DS,2012,59.0,Skylanders Giants,0.14,50.0
41,3DS,0,71.0,LEGO Harry Potter: Years 5-7,0.4,65.0
42,3DS,2011,74.0,Tetris Axis,0.43,68.0
43,3DS,2011,55.0,Thor: God of Thunder,0.1,42.0
44,3DS,2011,42.0,Green Lantern: Rise of the Manhunters,0.13,39.0
45,3DS,2013,65.0,LEGO Legends of Chima: Laval's Journey,0.31,36.0
46,3DS,2013,43.0,LEGO Friends,0.04,83.0
47,3DS,2013,47.0,Hometown Story,0.43,60.0
48,3DS,2011,65.0,Unchained Blades ,0.04,78.0
49,3DS,2015,67.0,The Legend of Legacy,0.25,71.0
50,3DS,2011,60.0,James Noir's Hollywood Crimes,0.15,66.0
51,3DS,2011,53.0,Tom Clancy's Splinter Cell 3D,0.3,55.0
52,3DS,2011,56.0,Pokemon Rumble Blast,1.14,71.0
53,3DS,2014,57.0,Fossil Fighters: Frontier,0.36,48.0
54,3DS,2011,50.0,Spider-Man: Edge of Time,0.12,64.0
55,3DS,2013,57.0,Mario Party: Island Tour,1.92,63.0
56,3DS,2011,46.0,One Piece Unlimited Cruise SP,0.3,73.0
57,3DS,2012,72.0,LEGO Batman 2: DC Super Heroes,0.75,52.0
58,3DS,2015,70.0,Mario vs. Donkey Kong: Tipping Stars,0.06,75.0
59,3DS,2011,67.0,LEGO Star Wars III: The Clone Wars,1.13,61.0
60,3DS,2013,46.0,Attack on Titan: Humanity in Chains,0.42,45.0
61,3DS,2016,77.0,Azure Striker Gunvolt,0.01,84.0
62,3DS,2014,80.0,Kirby: Triple Deluxe,1.83,88.0
63,3DS,2011,56.0,The Adventures of Tintin: The Game,0.15,57.0
64,3DS,2012,71.0,Naruto: Powerful Shippuden,0.15,54.0
65,3DS,2012,73.0,Fantasy Life,1.13,86.0
66,3DS,2011,52.0,The Sims 3,0.76,33.0
67,3DS,2011,67.0,Pinball Hall of Fame: The Williams Collection,0.1,73.0
68,3DS,2015,73.0,The Legend of Zelda: Tri Force Heroes,1.12,76.0
69,3DS,2014,76.0,Story of Seasons,0.42,82.0
70,3DS,2012,54.0,Spirit Camera: The Cursed Memoir,0.22,61.0
71,3DS,2011,71.0,WWE All Stars,0.23,74.0
72,3DS,2011,67.0,Mahjong Cub3D,0.09,53.0
73,3DS,2012,76.0,Style Savvy: Trendsetters,0.73,80.0
74,3DS,2014,65.0,Adventure Time: The Secret of the Nameless Kingdom,0.08,56.0
75,3DS,2012,92.0,Fire Emblem: Awakening,2.01,91.0
76,3DS,2011,81.0,Star Fox 64 3D,0.94,82.0
77,3DS,2011,65.0,Need for Speed: The Run,0.19,60.0
78,3DS,2011,71.0,LEGO Pirates of the Caribbean: The Video Game,0.62,73.0
79,3DS,2011,64.0,SpongeBob SquigglePants 3D,0.19,60.0
80,3DS,2015,66.0,Animal Crossing: Happy Home Designer,3.05,69.0
81,3DS,2015,45.0,Rodea the Sky Soldier,0.04,56.0
82,3DS,2012,69.0,Mario Tennis Open,0.95,69.0
83,3DS,2014,81.0,Phoenix Wright: Ace Attorney Trilogy,0.02,90.0
84,3DS,2012,78.0,Theatrhythm: Final Fantasy,0.5,78.0
85,3DS,2013,91.0,The Legend of Zelda: A Link Between Worlds,3.1,89.0
86,3DS,2016,68.0,Mario Party: Star Rush,0.3,68.0
87,3DS,2012,88.0,Zero Escape: Virtue's Last Reward,0.03,88.0
88,3DS,2011,56.0,Cooking Mama 4: Kitchen Magic!,0.61,60.0
89,3DS,2012,73.0,Scribblenauts: Unlimited,0.61,74.0
90,3DS,2014,86.0,Monster Hunter 4 Ultimate,3.89,87.0
91,3DS,2015,58.0,Pokemon Rumble World,0.09,64.0
92,3DS,2011,71.0,PilotWings Resort,0.95,74.0
93,3DS,2013,83.0,Shin Megami Tensei IV,0.58,83.0
94,3DS,2014,58.0,Senran Kagura 2: Deep Crimson ,0.22,68.0
95,3DS,2016,81.0,Zero Escape: Zero Time Dilemma,0.08,85.0
96,3DS,2015,69.0,Code Name: S.T.E.A.M.,0.21,77.0
97,3DS,2015,69.0,Pokemon Super Mystery Dungeon,1.25,88.0
98,3DS,2011,49.0,Madden NFL Football,0.39,53.0
99,3DS,2015,80.0,Hatsune Miku: Project Mirai DX,0.32,85.0
100,3DS,2011,90.0,Super Mario 3D Land,10.81,84.0
101,3DS,2015,89.0,The Legend of Zelda: Majora's Mask 3D,2.34,90.0
102,3DS,2011,59.0,F1 2011,0.16,68.0
103,3DS,2015,90.0,Shovel Knight,0.14,82.0
104,3DS,2011,49.0,Bust-A-Move Universe,0.31,48.0
105,3DS,2014,69.0,Final Fantasy Explorers,0.54,70.0
106,3DS,2012,74.0,Harvest Moon 3D: A New Beginning,0.91,82.0
107,3DS,2016,77.0,Mega Man Legacy Collection,0.21,71.0
108,3DS,2012,81.0,Art Academy: Lessons for Everyone,0.46,76.0
109,3DS,2012,78.0,New Super Mario Bros. 2,9.9,72.0
110,3DS,2011,51.0,Captain America: Super Soldier,0.08,50.0
111,3DS,2011,61.0,Samurai Warriors Chronicles,0.39,77.0
112,3DS,2012,70.0,Project X Zone,0.39,73.0
113,3DS,2012,79.0,Professor Layton vs Phoenix Wright: Ace Attorney,0.8,85.0
114,3DS,2015,79.0,Stella Glow,0.24,87.0
